Sieger:,Verlierer:
"K. Mbappé,J. Kimmich,L. Sané,S. Mané,Azpilicueta,V. van Dijk,C. Lenglet,Coutinho,L. Messi,K. De Bruyne","De Gea,M. Hummels,M. Salah,Sergio Agüero,J. Oblak,Thiago Silva,Ederson,R. Sterling,Bernardo Silva,K. Navas"
"K. Navas,C. Lenglet,David Silva,V. van Dijk,H. Son,Coutinho,Piqué,E. Hazard,S. Mané,L. Sané","K. Mbappé,R. Lukaku,L. Messi,Ederson,J. Oblak,L. Modrić,L. Suárez,Miranda,M. Salah,S. Umtiti"
"L. Suárez,V. van Dijk,L. Messi,Iniesta,Azpilicueta,A. Griezmann,J. Kimmich,K. Manolas,Neymar Jr,K. Mbappé","K. Navas,J. Oblak,L. Sané,De Gea,Coutinho,H. Son,K. De Bruyne,Ederson,Piqué,M. Salah"
